epoch,accuracy,loss,val_accuracy,val_loss
0,0.39690008759498596,1.2974703311920166,0.5100864768028259,1.1726953983306885
1,0.5931358933448792,1.0038702487945557,0.6080691814422607,0.9906466007232666
2,0.6728480458259583,0.8293592929840088,0.6858789920806885,0.8620212078094482
3,0.7127041220664978,0.7322084307670593,0.7060518860816956,0.815037727355957
4,0.7312482595443726,0.6874783635139465,0.6945244669914246,0.8049377799034119
5,0.7478549480438232,0.6477645635604858,0.7118155360221863,0.7819350957870483
6,0.7605867981910706,0.6211806535720825,0.6829971075057983,0.827330470085144
7,0.7586493492126465,0.6065528988838196,0.7204610705375671,0.780897855758667
8,0.7722114324569702,0.5765308737754822,0.6916426420211792,0.8050681352615356
9,0.7877110242843628,0.5640885829925537,0.6974063515663147,0.8293790221214294
10,0.7910323739051819,0.5388873219490051,0.6916426420211792,0.8424035310745239
11,0.792969822883606,0.5310066938400269,0.7118155360221863,0.823070764541626
12,0.8065319657325745,0.5059897303581238,0.7118155360221863,0.8266673684120178
13,0.8148353099822998,0.48535412549972534,0.7002881765365601,0.8384499549865723
14,0.8181566596031189,0.47501304745674133,0.7175792455673218,0.8439164161682129
15,0.8328258991241455,0.4465944170951843,0.7002881765365601,0.8605307936668396
16,0.845834493637085,0.42239025235176086,0.7031700015068054,0.8883823752403259
17,0.8461112380027771,0.40835291147232056,0.7002881765365601,0.8918756246566772
18,0.8480486869812012,0.398606538772583,0.7118155360221863,0.8867910504341125
19,0.8538610339164734,0.37732288241386414,0.6974063515663147,0.950851321220398
20,0.8635482788085938,0.36995238065719604,0.6858789920806885,0.9280964732170105
21,0.871574878692627,0.35303500294685364,0.6829971075057983,0.9572396874427795
22,0.8809853196144104,0.3326842486858368,0.6887608170509338,0.9667114615440369
23,0.8845834732055664,0.3176833689212799,0.6858789920806885,0.9762710332870483
24,0.8903958201408386,0.3039953410625458,0.6829971075057983,0.9485105872154236
