epoch,accuracy,loss,val_accuracy,val_loss
0,0.3706061542034149,1.3240139484405518,0.4495677351951599,1.2682390213012695
1,0.6592859029769897,0.965878963470459,0.6858789920806885,0.9075531959533691
2,0.7960143685340881,0.5704988837242126,0.6945244669914246,0.7867311835289001
3,0.8452809453010559,0.4120667278766632,0.7118155360221863,0.742383599281311
4,0.8754497766494751,0.3308054804801941,0.7002881765365601,0.8071010112762451
5,0.9036811590194702,0.27061718702316284,0.7118155360221863,0.8434410691261292
6,0.9211181998252869,0.23019897937774658,0.6945244669914246,0.8742906451225281
7,0.9346803426742554,0.19475607573986053,0.6916426420211792,0.9714877009391785
8,0.9454746842384338,0.16629540920257568,0.6916426420211792,1.0019299983978271
9,0.9532244801521301,0.14258745312690735,0.6974063515663147,1.059382438659668
10,0.9595903754234314,0.12799683213233948,0.6743515729904175,1.1082254648208618
11,0.9626349210739136,0.11576395481824875,0.6858789920806885,1.1361595392227173
12,0.9681705236434937,0.10418076068162918,0.6858789920806885,1.2130303382873535
13,0.9701079726219177,0.0935349091887474,0.6743515729904175,1.2333858013153076
14,0.9690008163452148,0.09820213168859482,0.6685879230499268,1.2965421676635742
15,0.9717686176300049,0.08320979028940201,0.6685879230499268,1.3533695936203003
16,0.9748131632804871,0.079462930560112,0.6685879230499268,1.356148362159729
17,0.9761970639228821,0.07554687559604645,0.6628242135047913,1.4047303199768066
18,0.972875714302063,0.08043628931045532,0.6743515729904175,1.3720452785491943
19,0.975089967250824,0.07406621426343918,0.6657060384750366,1.5461640357971191
20,0.9753667116165161,0.06765486299991608,0.6858789920806885,1.4410791397094727
21,0.9778577089309692,0.061952583491802216,0.6685879230499268,1.5732433795928955
22,0.9745364189147949,0.06541519612073898,0.6714697480201721,1.5022053718566895
23,0.9789648652076721,0.055087488144636154,0.6657060384750366,1.5926891565322876
24,0.9761970639228821,0.059612423181533813,0.6657060384750366,1.6098037958145142
